<Flood version='3.0' class='InputTargetDataSet'>
<InstancesNumber>
100
</InstancesNumber>
<VariablesNumber>
3
</VariablesNumber>
<TrainingInstancesNumber>
75
</TrainingInstancesNumber>
<TrainingInstancesIndices>
0 2 3 6 7 8 9 11 12 13 14 15 16 17 18 20 22 24 25 26 27 28 29 30 31 32 33 35 36 37 39 40 41 42 43 45 49 51 52 53 55 56 57 58 59 60 61 62 63 64 66 67 68 69 70 71 72 73 75 76 79 80 81 82 83 84 86 87 88 89 91 92 94 96 98 
</TrainingInstancesIndices>
<ValidationInstancesNumber>
0
</ValidationInstancesNumber>
<ValidationInstancesIndices>

</ValidationInstancesIndices>
<TestingInstancesNumber>
25
</TestingInstancesNumber>
<TestingInstancesIndices>
1 4 5 10 19 21 23 34 38 44 46 47 48 50 54 65 74 77 78 85 90 93 95 97 99 
</TestingInstancesIndices>
<InputVariablesNumber>
2
</InputVariablesNumber>
<InputVariablesIndices>
0 1 
</InputVariablesIndices>
<TargetVariablesNumber>
1
</TargetVariablesNumber>
<TargetVariablesIndices>
2 
</TargetVariablesIndices>
<VariablesName>
<Name>
x1
</Name>
<Name>
x2
</Name>
<Name>
y
</Name>
</VariablesName>
<Display>
1
</Display>
<Data>
0.549935 0.109086 0 
0.875194 0.371146 0 
0.558461 2.02058 0 
0.98462 0.984274 0 
-0.172586 0.61007 0 
0.986245 1.71151 0 
-0.557698 0.766572 0 
0.84037 1.95235 0 
1.61307 -0.704859 0 
0.0380212 0.832733 0 
-0.256301 -0.264656 0 
1.02687 0.964593 0 
0.952442 1.19807 0 
0.897288 0.426944 0 
1.44199 0.849988 0 
0.95172 2.22704 0 
-0.0457829 0.870005 0 
0.94583 0.659819 0 
1.06783 0.302732 0 
0.625191 -0.0933858 0 
0.189208 -0.366902 0 
0.986467 1.08576 0 
0.925071 0.790658 0 
1.60576 -0.17434 0 
0.76564 1.70519 0 
0.833764 0.168339 0 
0.955174 0.571629 0 
0.690445 1.7815 0 
0.46305 -0.379699 0 
0.650699 0.2368 0 
0.180099 0.0540725 0 
1.23297 0.575349 0 
1.39752 0.0562152 0 
0.502362 -0.920108 0 
-0.067778 1.17754 0 
0.305743 0.0366038 0 
1.48656 1.56384 0 
0.368038 1.29425 0 
0.155174 1.39209 0 
0.0443267 0.874971 0 
0.963895 0.724712 0 
-0.327554 0.619229 0 
-0.288473 0.249452 0 
-0.234223 1.38757 0 
0.977355 0.608707 0 
1.86394 -0.618375 0 
1.7019 0.353454 0 
-0.0893423 1.04882 0 
1.27231 -0.416284 0 
-0.19095 -0.207215 0 
1.27844 0.132981 0 
0.776591 0.80938 0 
0.57968 0.122302 0 
-0.00927876 -0.00789072 0 
-0.0627686 0.237339 0 
1.86681 0.605505 0 
0.0369799 -0.230377 0 
-0.794671 -0.0830858 1 
0.551388 -1.10502 1 
-1.60197 -1.23745 1 
-1.60491 0.464107 1 
-0.623613 -1.03442 1 
-0.755607 -0.844807 1 
-1.64725 -0.387093 1 
-1.40329 0.26141 1 
-1.43629 -0.946063 1 
0.022514 -0.603302 1 
-1.15749 -0.806174 1 
-0.293062 -0.480379 1 
-1.88213 -1.17647 1 
-1.02458 0.149447 1 
-1.03157 -1.88198 1 
-1.72689 0.22619 1 
-0.791888 -1.22156 1 
-0.0143556 -1.05985 1 
-0.718977 0.577591 1 
-1.16304 -1.44214 1 
-0.227565 -1.59915 1 
-2.54744 -1.86952 1 
-0.101686 -0.911522 1 
-0.970786 -1.49366 1 
0.493636 -0.11957 1 
-1.4246 -1.20764 1 
-1.05708 -1.08517 1 
-0.133343 -0.367457 1 
-0.963901 -1.25688 1 
-0.973535 -0.693443 1 
-0.414501 0.902659 1 
-0.184879 -1.30772 1 
-0.968295 -0.833548 1 
-0.887787 -1.35814 1 
-0.836704 -0.980451 1 
-0.0238144 0.495081 1 
-1.14053 -2.37821 1 
-1.2199 -0.63331 1 
0.427678 -1.23483 1 
-0.617371 -2.40263 1 
-0.846851 -0.350861 1 
-2.69526 0.15117 1 
-0.696129 0.428132 1 
</Data>
